"person_ID","person_name","email","phone_number","person_type","address_ID"
1,"Matilde Gabites","mgabites0@marketwatch.com","531-849-0374","vendor",1
2,"Sallee McParlin","smcparlin1@google.de","796-237-1810","customer",2
3,"Alexi Haslegrave","ahaslegrave2@microsoft.com","746-753-7740","customer",3
4,"Siouxie Winslett","swinslett3@techcrunch.com","148-466-7697","vendor",4
5,"Costa Mechi","cmechi4@themeforest.net","637-395-9138","vendor",5
6,"Pernell Jurasek","pjurasek5@nsw.gov.au","997-995-5774","customer",6
7,"Ferris Guinn","fguinn6@archive.org","501-517-4472","customer",7
8,"Barn MacNeilly","bmacneilly7@edublogs.org","147-986-0077","customer",8
9,"Bertha Barnwille","bbarnwille8@bigcartel.com","178-188-8298","vendor",9
10,"Paige Bicknell","pbicknell9@newyorker.com","552-692-8137","vendor",10
11,"Minnie Shingfield","mshingfielda@go.com","618-285-9903","customer",11
12,"Thacher O'Donoghue","todonoghueb@hatena.ne.jp","141-422-3896","customer",12
13,"Tito Hunte","thuntec@europa.eu","357-153-1582","vendor",13
14,"Morgan Wotton","mwottond@yale.edu","806-363-9761","vendor",14
15,"Gwendolen Bausor","gbausore@is.gd","801-442-9806","customer",15
16,"Joe Blow","jblow@gmail.com","709-223-2832","vendor",15
